index,claims,text_tokens,claim_idx,claim_vector
510,"[{'start': 0, 'end': 32}]","['12', 'मई', '2020', '.', 'यह', 'पश्चिम', 'बंगाल', 'के', 'तेलिनिपारा', 'में', 'हुआ', 'था', '।', 'मुस्लिम', 'निवासियों', 'को', 'निकाला', 'और', 'हमला', 'किया', ',', 'संपत्तियों', 'को', 'व्यवस्थित', ',', 'नियोजित', 'तरीके', 'से', 'लूट', 'कर', 'जला', 'दिया', '।']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
511,"[{'start': 3, 'end': 13}, {'start': 17, 'end': 24}]","['RT', '@U41452084', ':', 'चलेगा', 'बुल्डोजर', 'तो', 'आएगा', 'वाड्रा', 'का', 'मकान', 'भी', 'जद', 'में', '..', '!', '!', 'यहां', 'अवैध', 'सिर्फ', 'कंगना', 'का', 'मकान', 'थोड़ी', 'है', '.', '😂', '😂']","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 22, 23}","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
512,"[{'start': 0, 'end': 19}]","['कल', 'से', 'पहले', 'चरण', 'का', 'प्रशिक्षण', 'भी', 'दिया', 'जाएगा', 'तथा', 'दूसरे', 'चरण', 'का', 'प्रशिक्षण', '03', 'सिंतम्बर', 'से', 'कराया', 'जाएगा', ':', 'ACS', ',', 'चिकित्सा', 'एवं', 'स्वास्थ्य', ',', 'श्री', 'अमित', 'मोहन', 'प्रसाद', 'जी']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
513,"[{'start': 0, 'end': 22}]","['केरल', 'के', 'कोझिकोड', 'में', 'दुबई', 'से', 'कालीकट', 'आ', 'रहे', 'एयर', 'इंडिया', 'के', 'विमान', 'दुर्घटनाग्रस्त', 'होने', 'का', 'दुःखद', 'समाचार', 'प्राप्त', 'हुआ', 'है', '।', 'ईश्वर', 'से', 'दिवंगत', 'आत्माओ', 'की', 'शांति', 'एवं', 'घायलों', 'के', 'शीघ्र', 'स्वस्थ', 'होने', 'की', 'कामना', 'करता', 'हूं', '।', '#AirIndiaExpress']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
514,"[{'start': 0, 'end': 24}]","['RT', '@U99562572', ':', 'ज़ुबानी', 'जंग', 'में', 'Y', '+', 'श्रेणी', 'की', 'सुरक्षा', 'मिली', '...', 'अगर', 'मार', 'पीट', 'हो', 'जाती', 'तो', 'राफ़ेल', 'भी', 'मिल', 'सकता', 'था', '!', '🤔', '🤔']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
515,"[{'start': 0, 'end': 18}]","['रेलवे', 'NEET', '/', 'JEE', 'परीक्षा', 'देने', 'वाले', 'छात्रों', 'के', 'लिए', '2', 'से', '15', 'सितंबर', 'तक', 'चलाएगी', 'विशेष', 'ट्रेनें', ',', 'देखें', 'पूरी', 'लिस्ट', 'https://t.co/soGD2ee4lw', 'via', '@U59792336']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
516,"[{'start': 0, 'end': 61}, {'start': 64, 'end': 76}, {'start': 84, 'end': 134}]","['भारत', 'एक', 'लोकताँत्रिक', 'देश', 'है', 'यहाँ', 'संविधान', 'के', 'मुताविक', 'सरकार', 'जनता', 'द्वारा', 'पाँच', 'साल', 'के', 'लिए', 'चुनी', 'जाती', 'है', '।', 'कोरोना', 'महामारी', 'की', 'आड़', 'में', 'श्री', 'रंजन', 'गोगोई', 'जी', 'ने', 'यह', 'कहकर', 'भारतीय', 'संविधान', 'व', 'लोकतंत्र', 'का', 'अपमान', 'किया', 'है', 'कि', 'भारत', 'में', 'दस', 'वर्ष', 'तक', 'चुनाव', 'न', 'हों', 'और', 'मोदी', 'जी', 'ही', 'दस', 'वर्ष', 'तक', 'भारत', 'के', 'प्रधानमंत्री', 'बने', 'रहें', ',', 'इसके', 'लिए', 'श्री', 'गोगोई', 'ने', 'चुनाव', 'में', 'पैसा', 'खर्च', 'होने', 'की', 'बात', 'कही', 'है', '(', 'उनकी', 'पोस्ट', 'नीचे', 'संलग्न', ')', '।', 'सोचिए', 'ये', 'वही', 'श्री', 'रंजन', 'गोगोई', 'है', 'जो', 'अभी', 'कुछ', 'समय', 'पहले', 'तक', 'भारत', 'की', 'सर्वोच्च', 'अदालत', 'के', 'मुख्य', 'न्यायाधीश', 'पद', 'से', 'सेवानिवृत्त', 'होकर', 'भाजपा', 'द्वारा', 'राज्यसभा', 'के', 'साँसद', 'मनोनीत', 'किए', 'गये', 'है', ',', 'इन्हे', 'साँसद', 'बनवाने', 'के', 'लिए', 'भारत', 'के', 'राष्ट्रपति', 'महोदय', 'ने', 'अपनी', 'स्पेशल', 'शक्तियों', 'का', 'उपयोग', 'किया', 'था', '।']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
517,"[{'start': 0, 'end': 33}, {'start': 35, 'end': 54}]","['केरल', 'में', 'ईसाई', 'मिशनरीयो', 'और', 'जिहादियों', 'का', 'आतंक', 'अब', 'इतना', 'बढ़', 'चुका', 'है', 'कि', 'हिन्दुओ', 'को', 'पूजा', 'अर्चना', 'और', 'अपने', 'धार्मिक', 'रीती', 'रिवाज़ो', 'को', 'पूरा', 'करने', 'का', 'अधिकार', 'भी', 'छिना', 'जा', 'रहा', 'है', '..', '!', 'इस', 'दलित', 'आदिवासी', 'महिला', 'को', 'बुरी', 'तरह', 'पीटा', 'ओर', 'कपड़े', 'फाड़', 'दिए', 'क्यों', 'की', 'ये', 'पूजा', 'कर', 'रही', 'थी', '..', '!', '!']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
518,"[{'start': 0, 'end': 18}]","['अगर', 'तुर्की', 'जाने', 'से', 'आमिर', 'खान', 'देशद्रोही', 'हैं', 'तो', 'बिना', 'बुलाए', 'मोदी', 'जी', 'पाकिस्तान', 'गए', 'तो', 'क्या', 'कहेंगे', '?', 'बोलो', 'दोगलों', '!']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
519,"[{'start': 16, 'end': 21}]","['#SushantWasMurdered', '|', 'रिया', 'का', 'झूठ', 'बेनकाब', ':', 'श्रुति', 'मोदी', 'के', 'वकील', 'का', 'बड़ा', 'बयान', '-', ""'"", 'ड्रग्स', 'लेती', 'थी', 'रिया', 'चक्रवर्ती', ""'"", 'https://t.co/nIWNPpiJPX']","{16, 17, 18, 19, 20}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
520,"[{'start': 0, 'end': 9}]","['राष्ट्रपति', '#RamNathKovind', 'ने', 'पूर्व', 'राष्ट्रपति', '#PranabMukherjee', 'को', 'दी', 'श्रद्धांजलि', '#PranabDa', 'https://t.co/xlWr0gVQgq']","{0, 1, 2, 3, 4, 5, 6, 7, 8}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
521,[],"['#BiharElelctions', 'को', 'लेकर', '#BJP', 'की', 'कैसी', 'है', 'तैयारी', '?', 'पढ़िए', '...', 'https://t.co/QfR3l72Y5d']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
522,[],"['सफाई', 'कर्मचारियों', 'का', 'सत्कार', 'करें', '।', 'इनके', 'साथ', 'भेदभाव', 'ना', 'करें', '।', 'बदलकर', 'अपना', 'व्यवहार', ',', 'करें', '#कोरोना', 'पर', 'वार', '।', '#IndiaFightsCorona', 'https://t.co/0MmYlQotR4']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
523,"[{'start': 0, 'end': 10}]","['यूरोप', 'में', 'मुसलमानों', 'की', 'आबादी', 'तेजी', 'से', 'बढ़', 'रही', 'है', '#Europe', 'https://t.co/9i4Cssr9lu']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
524,"[{'start': 13, 'end': 25}]","['बधाई', 'हो', 'भारत', 'के', 'सभी', 'नागरिकों', 'को', '*', 'इंडिया', 'नही', 'भारत', 'बोलो', '*', '15', 'जून', 'से', 'भारत', 'का', 'नाम', 'हर', 'भाषा', 'मे', 'सिर्फ', 'भारत', 'रहेगा', '-', '-', 'सुप्रीम', 'कोर्ट']","{13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
525,[],"['जिनको', 'वहम', 'था', 'कि', 'मनमोहन', 'सिंह', 'प्रधानमंत्री', 'थे', ',', 'वह', 'यह', 'वीडियो', 'दो', '-', 'चार', 'बार', 'आंखें', 'खोलकर', 'देख', 'लें', ',', 'सारा', 'वहम', 'दूर', 'हो', 'जाएगा', '!']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
526,"[{'start': 0, 'end': 12}, {'start': 14, 'end': 23}]","['पत्थर', 'फ़ेकने', 'वाले', 'कश्मीरी', 'युवक', 'ने', 'सेना', 'के', 'कुत्ते', 'पर', 'पत्थर', 'फ़ेंका', '…', '.', 'कुते', 'ने', 'सरकार', 'के', 'ऑर्डर', 'का', 'इंतजार', 'नहीं', 'किया', 'उसने', 'वह', 'किया', 'जो', 'सही', 'था', '।']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
527,"[{'start': 0, 'end': 27}]","['तस्वीरें', 'पश्चिम', 'बंगाल', 'में', 'सड़कों', 'की', 'बदहाली', 'को', 'लेकर', 'हुए', 'विरोध', 'प्रदर्शन', 'की', 'है', 'लेकिन', 'कांग्रेस', 'नेता', 'पंखुड़ी', 'पाठक', 'ने', 'इसे', 'उत्तर', 'प्रदेश', 'का', 'बताकर', 'शेयर', 'किया', 'है', '।', 'https://t.co/jqKnjlmrZs']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
528,"[{'start': 3, 'end': 13}]","['RT', '@U41452084', ':', 'मोदीजी', 'और', 'जब', 'सारा', 'देश', 'सेना', 'के', 'साथ', 'खडी', 'है', ',', 'पर', 'दो', 'सयाने', 'विदेश', 'मे', 'पडे', 'है', '?', '🤔', 'इसलिए', 'बोलते', 'हैं', 'विदेशी', 'मां', 'का', 'बेटा', 'कभी', 'देशभक्त', 'न', '…']","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12}","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
529,"[{'start': 0, 'end': 12}, {'start': 14, 'end': 29}]","['SCO', 'की', 'इस', 'बैठक', 'में', 'चीन', 'के', 'रक्षा', 'मंत्री', 'भी', 'शामिल', 'होंगे', '।', 'हालांकि', 'रक्षा', 'मंत्री', 'राजनाथ', 'सिंह', 'की', 'चीनी', 'समकक्ष', 'के', 'साथ', 'अलग', 'से', 'कोई', 'बातचीत', 'नहीं', 'होगी', '।', '(', 'सूत्र', ')', 'https://t.co/Zn4lWf5MEY', '#SCOMeeting', '@U52956025']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
530,"[{'start': 0, 'end': 15}, {'start': 19, 'end': 49}]","['पूर्व', 'राष्ट्रपति', 'प्रणव', 'मुखर्जी', 'के', 'बेटे', 'अभिजीत', 'ने', 'कहा', ',', 'हमें', 'उन्हें', 'बहुत', 'याद', 'करेंगे', '।', 'मुझे', 'लगता', 'है', 'उनके', 'निधन', 'के', 'पीछे', 'मुख्य', 'वजह', 'कोरोना', 'नहीं', 'बल्कि', 'ब्रेन', 'ऑपरेशन', 'थी', '।', 'हम', 'उनको', 'पश्चिम', 'बंगाल', 'ले', 'जाना', 'चाहते', 'थे', 'लेकिन', 'मौजूदा', 'बाधाओं', 'के', 'चलते', 'नहीं', 'ले', 'जा', 'सके', '।', 'https://t.co/lkZrVws3Zk']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
531,"[{'start': 0, 'end': 15}, {'start': 19, 'end': 24}]","['भूटान', 'ने', 'इस', 'साल', 'असम', 'के', 'किसानों', 'को', 'दिया', 'जाने', 'वाला', 'पानी', 'रोक', 'दिया', 'है', '।', 'जिस', 'वजह', 'से', 'किसान', 'परेशान', 'हो', 'रहे', 'हैं', '।']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
532,[],"['नई', 'शिक्षा', 'नीति', ',', '2020', 'पर', 'क्या', 'बोले', 'प्रधानमंत्री', 'नरेंद्र', 'मोदी', 'https://t.co/zT99sKvLGV']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
533,[],"['जिसको', 'आपने', 'प्यार', 'किया', 'था', 'आज', 'भी', 'उनकी', 'याद', 'आती', 'है', 'और', 'आपकी', 'आँखे', 'नम', 'हो', 'जाती', 'है', '😢', '😢', '😭', '😭', '😰', '😰']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
